,locus_tag,species,cluster_rep,fold
XP_447135.1,CAGL0H07755g,c_gla,c_gla:XP_447135.1,4
XP_447136.1,CAGL0H07777g,c_gla,XP_447136.1,1
XP_447137.1,CAGL0H07799g,c_gla,XP_447137.1,3
XP_447138.1,CAGL0H07821g,c_gla,k_afr:XP_003959484.1,1
XP_447140.1,CAGL0H07865g,c_gla,XP_447140.1,4
XP_447141.1,CAGL0H07887g,c_gla,k_nag:XP_022462730.1,4
XP_447142.1,CAGL0H07909g,c_gla,XP_447142.1,0
XP_447143.1,CAGL0H07931g,c_gla,XP_447143.1,0
XP_447144.1,CAGL0H07953g,c_gla,XP_447144.1,3
XP_447145.1,CAGL0H07975g,c_gla,XP_447145.1,4
XP_447146.1,CAGL0H07997g,c_gla,XP_447146.1,1
XP_447147.1,CAGL0H08019g,c_gla,c_gla:XP_447147.1,0
XP_447148.1,CAGL0H08041g,c_gla,XP_447148.1,1
XP_447149.1,CAGL0H08063g,c_gla,XP_447149.1,2
XP_447150.1,CAGL0H08085g,c_gla,XP_447150.1,0
XP_447155.1,CAGL0H08195g,c_gla,s_cer:NP_014670.1,3
XP_447156.1,CAGL0H08217g,c_gla,XP_447156.1,2
XP_447157.1,CAGL0H08239g,c_gla,XP_447157.1,0
XP_447159.1,CAGL0H08283g,c_gla,k_mar:XP_022678142.1,4
XP_447160.1,CAGL0H08305g,c_gla,XP_447160.1,2
XP_447161.1,CAGL0H08327g,c_gla,n_dai:XP_003667954.1,1
XP_447162.1,CAGL0H08349g,c_gla,XP_447162.1,2
XP_447163.1,CAGL0H08371g,c_gla,k_nag:XP_022465772.1,4
XP_447164.1,CAGL0H08393g,c_gla,s_cer:NP_010331.3,0
XP_447165.1,CAGL0H08415g,c_gla,n_dai:XP_003667961.1,3
XP_447166.1,CAGL0H08437g,c_gla,XP_447166.1,0
XP_447167.1,CAGL0H08459g,c_gla,XP_447167.1,2
XP_447168.1,CAGL0H08481g,c_gla,XP_447168.1,0
XP_447169.1,CAGL0H08503g,c_gla,XP_447169.1,4
XP_447170.1,CAGL0H08525g,c_gla,XP_447170.1,0
XP_002999554.1,CAGL0H08541g,c_gla,n_cas:XP_003674040.1,4
XP_447171.1,CAGL0H08547g,c_gla,k_nag:XP_022465741.1,3
XP_447173.1,CAGL0H08580g,c_gla,XP_447173.1,0
XP_447174.1,CAGL0H08602g,c_gla,XP_447174.1,1
XP_447178.1,CAGL0H08734g,c_gla,e_gos:NP_986357.1,2
XP_447181.1,CAGL0H08800g,c_gla,n_dai:XP_003671907.1,1
XP_447185.1,CAGL0H08888g,c_gla,XP_447185.1,4
XP_447187.1,CAGL0H08932g,c_gla,n_cas:XP_003676347.1,2
XP_447188.1,CAGL0H08954g,c_gla,XP_447188.1,0
XP_447189.1,CAGL0H08976g,c_gla,s_cer:NP_015104.1,2
XP_447191.1,CAGL0H09020g,c_gla,XP_447191.1,3
XP_447193.1,CAGL0H09064g,c_gla,e_gos:NP_985599.1,1
XP_447195.1,CAGL0H09108g,c_gla,s_cer:NP_015063.1,2
XP_447197.1,CAGL0H09152g,c_gla,XP_447197.1,1
XP_447199.1,CAGL0H09196g,c_gla,c_gla:XP_447199.1,1
XP_447200.1,CAGL0H09218g,c_gla,XP_447200.1,2
XP_447201.1,CAGL0H09240g,c_gla,XP_447201.1,4
XP_447202.1,CAGL0H09262g,c_gla,XP_447202.1,0
XP_447203.1,CAGL0H09306g,c_gla,XP_447203.1,4
XP_447204.1,CAGL0H09328g,c_gla,c_gla:XP_447204.1,4
XP_447205.1,CAGL0H09350g,c_gla,XP_447205.1,0
XP_447206.1,CAGL0H09372g,c_gla,e_gos:NP_982394.1,2
XP_447208.1,CAGL0H09416g,c_gla,n_dai:XP_003670418.1,4
XP_447210.1,CAGL0H09460g,c_gla,XP_447210.1,2
XP_447212.1,CAGL0H09504g,c_gla,XP_447212.1,3
XP_447213.1,CAGL0H09526g,c_gla,XP_447213.1,0
XP_447214.1,CAGL0H09548g,c_gla,c_alb:XP_721933.1,2
XP_447215.1,CAGL0H09592g,c_gla,XP_447215.1,4
XP_447216.1,CAGL0H09614g,c_gla,XP_447216.1,0
XP_447217.1,CAGL0H09636g,c_gla,XP_447217.1,4
XP_447218.1,CAGL0H09658g,c_gla,s_cer:NP_010925.1,4
XP_447219.1,CAGL0H09680g,c_gla,XP_447219.1,2
XP_447221.1,CAGL0H09724g,c_gla,n_dai:XP_003668225.1,2
XP_447222.1,CAGL0H09746g,c_gla,XP_447222.1,4
XP_447223.1,CAGL0H09768g,c_gla,XP_447223.1,2
XP_447224.1,CAGL0H09812g,c_gla,XP_447224.1,3
XP_447225.1,CAGL0H09834g,c_gla,c_dub:XP_002422193.1,4
XP_447226.1,CAGL0H09856g,c_gla,n_dai:XP_003671095.2,4
XP_447227.1,CAGL0H09878g,c_gla,k_lac:XP_454746.1,1
XP_447229.1,CAGL0H09944g,c_gla,XP_447229.1,1
XP_447230.1,CAGL0H09966g,c_gla,XP_447230.1,0
XP_447233.1,CAGL0H10032g,c_gla,n_cas:XP_003673990.1,1
XP_447234.1,CAGL0H10054g,c_gla,XP_447234.1,3
XP_447235.1,CAGL0H10076g,c_gla,XP_447235.1,4
XP_447237.1,CAGL0H10120g,c_gla,XP_447237.1,2
XP_447238.1,CAGL0H10142g,c_gla,z_rou:XP_002497255.1,3
XP_447240.1,CAGL0H10186g,c_gla,XP_447240.1,2
XP_002999555.1,CAGL0H10202g,c_gla,XP_002999555.1,3
XP_447241.1,CAGL0H10208g,c_gla,XP_447241.1,1
XP_447243.1,CAGL0H10252g,c_gla,e_cym:XP_003645188.1,4
XP_447244.2,CAGL0H10274g,c_gla,XP_447244.2,2
XP_447245.1,CAGL0H10296g,c_gla,XP_447245.1,4
XP_447246.1,CAGL0H10318g,c_gla,c_gla:XP_447246.1,0
XP_447248.1,CAGL0H10362g,c_gla,XP_447248.1,1
XP_447249.1,CAGL0H10384g,c_gla,XP_447249.1,1
XP_447250.1,CAGL0H10406g,c_gla,XP_447250.1,2
XP_447252.1,CAGL0H10450g,c_gla,XP_447252.1,3
XP_447254.1,CAGL0H10494g,c_gla,XP_447254.1,1
XP_447255.1,CAGL0H10516g,c_gla,XP_447255.1,0
XP_447256.1,CAGL0H10538g,c_gla,XP_447256.1,3
XP_447257.1,CAGL0H10560g,c_gla,XP_447257.1,3
XP_447258.1,CAGL0H10582g,c_gla,XP_447258.1,4
XP_447259.1,CAGL0H10604g,c_gla,n_cas:XP_003675069.1,2
XP_447263.1,CAGL0I00242g,c_gla,XP_447263.1,3
XP_447264.1,CAGL0I00264g,c_gla,XP_447264.1,2
XP_447265.1,CAGL0I00286g,c_gla,n_cas:XP_003678326.1,1
XP_447266.1,CAGL0I00308g,c_gla,s_cer:NP_011388.1,4
XP_447268.1,CAGL0I00352g,c_gla,c_alb:XP_019331041.1,4
XP_447271.1,CAGL0I00418g,c_gla,s_cer:NP_011460.3,3
XP_447272.1,CAGL0I00440g,c_gla,c_dub:XP_002419606.1,0
XP_447273.1,CAGL0I00462g,c_gla,XP_447273.1,0
XP_447274.1,CAGL0I00484g,c_gla,k_nag:XP_022465230.1,4
XP_447275.1,CAGL0I00506g,c_gla,XP_447275.1,4
XP_447276.1,CAGL0I00528g,c_gla,XP_447276.1,4
XP_447278.1,CAGL0I00572g,c_gla,XP_447278.1,2
XP_447279.1,CAGL0I00594g,c_gla,n_dai:XP_003669824.1,2
XP_447280.1,CAGL0I00616g,c_gla,XP_447280.1,4
XP_447281.1,CAGL0I00638g,c_gla,XP_447281.1,1
XP_447282.1,CAGL0I00660g,c_gla,k_mar:XP_022673753.1,3
XP_447283.1,CAGL0I00682g,c_gla,XP_447283.1,3
XP_447286.1,CAGL0I00748g,c_gla,e_gos:NP_984358.1,2
XP_447288.1,CAGL0I00792g,c_gla,k_lac:XP_454946.1,2
XP_447289.1,CAGL0I00814g,c_gla,z_rou:XP_002494731.1,0
XP_447290.1,CAGL0I00836g,c_gla,XP_447290.1,4
XP_447291.1,CAGL0I00858g,c_gla,XP_447291.1,3
XP_447294.1,CAGL0I00924g,c_gla,XP_447294.1,2
XP_447295.1,CAGL0I00946g,c_gla,k_mar:XP_022674205.1,2
XP_447296.1,CAGL0I00968g,c_gla,XP_447296.1,2
XP_447297.1,CAGL0I00990g,c_gla,XP_447297.1,4
XP_447298.1,CAGL0I01012g,c_gla,XP_447298.1,3
XP_447299.1,CAGL0I01034g,c_gla,XP_447299.1,1
XP_447300.1,CAGL0I01056g,c_gla,XP_447300.1,1
XP_447301.1,CAGL0I01078g,c_gla,c_gla:XP_447301.1,0
XP_447302.1,CAGL0I01100g,c_gla,XP_447302.1,2
XP_447303.1,CAGL0I01122g,c_gla,XP_447303.1,3
XP_447305.1,CAGL0I01166g,c_gla,n_dai:XP_003669369.1,2
XP_447306.1,CAGL0I01188g,c_gla,XP_447306.1,3
XP_447308.1,CAGL0I01232g,c_gla,XP_447308.1,0
XP_447309.1,CAGL0I01254g,c_gla,k_afr:XP_003957682.1,0
XP_447310.1,CAGL0I01276g,c_gla,s_cer:NP_011980.1,3
XP_447311.1,CAGL0I01298g,c_gla,n_cas:XP_003677860.1,1
XP_447312.1,CAGL0I01320g,c_gla,XP_447312.1,2
XP_447313.1,CAGL0I01342g,c_gla,k_lac:XP_455833.1,0
XP_447315.1,CAGL0I01386g,c_gla,c_gla:XP_447315.1,1
XP_447316.1,CAGL0I01408g,c_gla,k_nag:XP_022465352.1,4
XP_447317.1,CAGL0I01430g,c_gla,n_dai:XP_003671054.2,4
XP_447318.1,CAGL0I01474g,c_gla,XP_447318.1,1
XP_447319.1,CAGL0I01496g,c_gla,s_cer:NP_012579.1,0
XP_447320.1,CAGL0I01518g,c_gla,n_dai:XP_003980132.1,0
XP_447321.1,CAGL0I01562g,c_gla,k_nag:XP_022465365.1,4
XP_447322.1,CAGL0I01584g,c_gla,XP_447322.1,3
XP_447324.1,CAGL0I01628g,c_gla,XP_447324.1,0
XP_447326.1,CAGL0I01672g,c_gla,XP_447326.1,0
XP_447327.1,CAGL0I01694g,c_gla,XP_447327.1,1
XP_447329.1,CAGL0I01804g,c_gla,XP_447329.1,0
XP_447330.1,CAGL0I01826g,c_gla,z_rou:XP_002495608.1,1
XP_447333.1,CAGL0I01892g,c_gla,XP_447333.1,4
XP_447339.1,CAGL0I02024g,c_gla,n_cas:XP_003675582.1,4
XP_447340.1,CAGL0I02046g,c_gla,XP_447340.1,0
XP_447342.1,CAGL0I02090g,c_gla,XP_447342.1,4
XP_447345.1,CAGL0I02156g,c_gla,XP_447345.1,1
XP_447346.1,CAGL0I02178g,c_gla,s_cer:NP_011759.1,4
XP_447347.1,CAGL0I02200g,c_gla,XP_447347.1,0
XP_447348.1,CAGL0I02222g,c_gla,XP_447348.1,1
XP_447350.1,CAGL0I02266g,c_gla,XP_447350.1,2
XP_447351.1,CAGL0I02288g,c_gla,XP_447351.1,4
XP_447352.1,CAGL0I02310g,c_gla,XP_447352.1,3
XP_447353.1,CAGL0I02332g,c_gla,XP_447353.1,1
XP_447354.1,CAGL0I02354g,c_gla,c_gla:XP_447354.1,0
XP_447355.1,CAGL0I02376g,c_gla,XP_447355.1,3
XP_447356.1,CAGL0I02398g,c_gla,k_afr:XP_003955877.1,3
XP_447357.1,CAGL0I02420g,c_gla,XP_447357.1,1
XP_447358.1,CAGL0I02442g,c_gla,k_nag:XP_022466658.1,0
XP_447360.1,CAGL0I02486g,c_gla,n_cas:XP_003675917.1,1
XP_447361.1,CAGL0I02508g,c_gla,XP_447361.1,4
XP_447362.1,CAGL0I02530g,c_gla,XP_447362.1,0
XP_447364.1,CAGL0I02574g,c_gla,n_cas:XP_003675582.1,4
XP_447366.1,CAGL0I02662g,c_gla,XP_447366.1,3
XP_447367.1,CAGL0I02684g,c_gla,n_cas:XP_003675390.1,4
XP_447368.1,CAGL0I02706g,c_gla,z_rou:XP_002496285.1,0
XP_447369.1,CAGL0I02728g,c_gla,XP_447369.1,0
XP_447370.1,CAGL0I02750g,c_gla,XP_447370.1,4
XP_447371.1,CAGL0I02772g,c_gla,XP_447371.1,2
XP_447375.1,CAGL0I02860g,c_gla,XP_447375.1,2
XP_447376.1,CAGL0I02882g,c_gla,XP_447376.1,2
XP_447377.1,CAGL0I02904g,c_gla,XP_447377.1,2
XP_447378.1,CAGL0I02926g,c_gla,n_dai:XP_003668107.1,3
XP_447380.1,CAGL0I02970g,c_gla,s_cer:NP_014119.1,4
XP_447381.1,CAGL0I02992g,c_gla,XP_447381.1,3
XP_447383.1,CAGL0I03036g,c_gla,XP_447383.1,3
XP_447384.1,CAGL0I03080g,c_gla,s_cer:NP_010893.3,4
XP_447385.1,CAGL0I03102g,c_gla,XP_447385.1,0
XP_447386.1,CAGL0I03168g,c_gla,XP_447386.1,1
XP_447387.1,CAGL0I03190g,c_gla,c_alb:XP_019330863.1,2
XP_447389.1,CAGL0I03234g,c_gla,e_gos:NP_984791.1,3
XP_447390.1,CAGL0I03256g,c_gla,XP_447390.1,0
XP_447391.1,CAGL0I03300g,c_gla,XP_447391.1,2
XP_447392.1,CAGL0I03322g,c_gla,s_cer:NP_012579.1,0
XP_447394.1,CAGL0I03366g,c_gla,s_cer:NP_010115.1,4
XP_447395.1,CAGL0I03388g,c_gla,k_afr:XP_003955518.1,0
XP_447396.1,CAGL0I03410g,c_gla,n_cas:XP_003674348.1,1
XP_447398.1,CAGL0I03454g,c_gla,XP_447398.1,1
XP_447399.1,CAGL0I03476g,c_gla,c_tro:XP_002549673.1,4
XP_447401.1,CAGL0I03520g,c_gla,XP_447401.1,2
XP_447402.1,CAGL0I03542g,c_gla,XP_447402.1,2
XP_447403.1,CAGL0I03564g,c_gla,XP_447403.1,4
XP_447405.1,CAGL0I03608g,c_gla,XP_447405.1,3
XP_447406.1,CAGL0I03630g,c_gla,XP_447406.1,3
XP_447407.1,CAGL0I03652g,c_gla,XP_447407.1,2
XP_447408.1,CAGL0I03674g,c_gla,n_dai:XP_003667608.1,0
XP_447409.1,CAGL0I03696g,c_gla,XP_447409.1,0
XP_447410.1,CAGL0I03718g,c_gla,k_lac:XP_455301.1,1
XP_447411.1,CAGL0I03740g,c_gla,XP_447411.1,2
XP_447412.1,CAGL0I03762g,c_gla,k_nag:XP_022463745.1,2
XP_447413.1,CAGL0I03784g,c_gla,XP_447413.1,2
XP_447414.1,CAGL0I03806g,c_gla,XP_447414.1,0
XP_447415.1,CAGL0I03828g,c_gla,c_alb:XP_719414.1,4
XP_447416.1,CAGL0I03850g,c_gla,XP_447416.1,3
XP_447417.1,CAGL0I03872g,c_gla,XP_447417.1,2
XP_447418.1,CAGL0I03894g,c_gla,XP_447418.1,1
XP_447419.1,CAGL0I03916g,c_gla,n_dai:XP_003667617.1,4
XP_447420.1,CAGL0I03938g,c_gla,z_rou:XP_002497440.1,1
XP_447421.1,CAGL0I03960g,c_gla,XP_447421.1,2
XP_447423.1,CAGL0I04004g,c_gla,XP_447423.1,0
XP_447425.1,CAGL0I04048g,c_gla,XP_447425.1,4
XP_447426.1,CAGL0I04070g,c_gla,XP_447426.1,1
XP_447428.1,CAGL0I04114g,c_gla,XP_447428.1,4
XP_002999556.1,CAGL0I04125g,c_gla,XP_002999556.1,3
XP_447431.1,CAGL0I04202g,c_gla,XP_447431.1,4
XP_447432.1,CAGL0I04224g,c_gla,z_rou:XP_002497411.1,0
XP_447435.1,CAGL0I04290g,c_gla,XP_447435.1,4
XP_447436.1,CAGL0I04312g,c_gla,e_gos:NP_984559.2,1
XP_447437.1,CAGL0I04334g,c_gla,XP_447437.1,2
XP_447438.1,CAGL0I04356g,c_gla,k_nag:XP_022463481.1,2
XP_447439.1,CAGL0I04378g,c_gla,XP_447439.1,1
XP_447440.1,CAGL0I04400g,c_gla,s_cer:NP_012395.1,4
XP_447441.1,CAGL0I04422g,c_gla,n_dai:XP_003671195.2,4
XP_447442.1,CAGL0I04444g,c_gla,e_gos:NP_985078.1,1
XP_447444.1,CAGL0I04488g,c_gla,XP_447444.1,4
XP_447445.1,CAGL0I04510g,c_gla,XP_447445.1,4
XP_447446.1,CAGL0I04532g,c_gla,XP_447446.1,2
XP_447448.1,CAGL0I04576g,c_gla,XP_447448.1,0
XP_447449.1,CAGL0I04598g,c_gla,XP_447449.1,2
XP_447450.1,CAGL0I04620g,c_gla,XP_447450.1,2
XP_447451.1,CAGL0I04642g,c_gla,c_gla:XP_447451.1,0
XP_447453.1,CAGL0I04686g,c_gla,k_afr:XP_003956194.1,3
XP_447454.1,CAGL0I04708g,c_gla,n_dai:XP_003668038.1,1
XP_447455.1,CAGL0I04730g,c_gla,n_cas:XP_003678190.1,0
XP_447456.1,CAGL0I04752g,c_gla,k_lac:XP_456177.1,2
XP_447457.1,CAGL0I04774g,c_gla,XP_447457.1,0
XP_447458.1,CAGL0I04796g,c_gla,XP_447458.1,2
XP_447459.1,CAGL0I04818g,c_gla,n_dai:XP_003668120.1,3
XP_447460.1,CAGL0I04840g,c_gla,XP_447460.1,4
XP_447461.1,CAGL0I04862g,c_gla,n_cas:XP_003676595.1,4
XP_447462.1,CAGL0I04884g,c_gla,c_alb:XP_717812.2,4
XP_447463.1,CAGL0I04906g,c_gla,k_lac:XP_454865.1,1
XP_447464.1,CAGL0I04928g,c_gla,XP_447464.1,0
XP_447465.1,CAGL0I04950g,c_gla,XP_447465.1,3
XP_447466.1,CAGL0I04972g,c_gla,XP_447466.1,4
XP_447467.1,CAGL0I04994g,c_gla,e_cym:XP_003646534.1,0
XP_447468.1,CAGL0I05016g,c_gla,k_afr:XP_003959663.1,1
XP_447469.1,CAGL0I05038g,c_gla,c_gla:XP_447469.1,3
XP_447472.1,CAGL0I05104g,c_gla,XP_447472.1,4
XP_447473.1,CAGL0I05126g,c_gla,k_nag:XP_022463719.1,2
XP_447474.1,CAGL0I05148g,c_gla,XP_447474.1,1
XP_447476.1,CAGL0I05192g,c_gla,z_rou:XP_002497133.1,1
XP_447477.1,CAGL0I05214g,c_gla,XP_447477.1,3
XP_447478.1,CAGL0I05236g,c_gla,XP_447478.1,0
XP_447479.1,CAGL0I05258g,c_gla,XP_447479.1,3
XP_447481.1,CAGL0I05302g,c_gla,XP_447481.1,0
XP_447482.1,CAGL0I05324g,c_gla,XP_447482.1,0
XP_447483.1,CAGL0I05390g,c_gla,XP_447483.1,4
XP_447485.1,CAGL0I05434g,c_gla,k_nag:XP_022462623.1,3
XP_447486.1,CAGL0I05456g,c_gla,XP_447486.1,3
XP_447487.1,CAGL0I05478g,c_gla,XP_447487.1,1
XP_447488.1,CAGL0I05500g,c_gla,c_dub:XP_002419836.1,1
XP_447490.1,CAGL0I05544g,c_gla,z_rou:XP_002495094.1,0
XP_447491.1,CAGL0I05566g,c_gla,z_rou:XP_002496818.1,2
XP_447492.1,CAGL0I05588g,c_gla,XP_447492.1,2
XP_447494.1,CAGL0I05632g,c_gla,XP_447494.1,4
XP_447495.1,CAGL0I05654g,c_gla,XP_447495.1,3
XP_447496.1,CAGL0I05676g,c_gla,n_dai:XP_003672605.1,4
XP_447497.1,CAGL0I05698g,c_gla,XP_447497.1,1
XP_447498.1,CAGL0I05720g,c_gla,k_afr:XP_003959439.1,1
XP_447501.1,CAGL0I05786g,c_gla,k_afr:XP_003957823.1,1
XP_447502.1,CAGL0I05808g,c_gla,XP_447502.1,0
XP_447503.1,CAGL0I05830g,c_gla,XP_447503.1,2
XP_447504.1,CAGL0I05852g,c_gla,XP_447504.1,0
XP_447505.1,CAGL0I05874g,c_gla,k_lac:XP_452565.1,3
XP_447506.1,CAGL0I05896g,c_gla,XP_447506.1,1
XP_447507.1,CAGL0I05918g,c_gla,c_gla:XP_447507.1,3
XP_447508.1,CAGL0I05940g,c_gla,XP_447508.1,1
XP_447511.1,CAGL0I06006g,c_gla,XP_447511.1,3
XP_447512.1,CAGL0I06028g,c_gla,XP_447512.1,3
XP_447513.1,CAGL0I06050g,c_gla,k_lac:XP_453784.1,2
XP_447514.1,CAGL0I06072g,c_gla,XP_447514.1,2
XP_447515.1,CAGL0I06094g,c_gla,c_gla:XP_447515.1,0
XP_447516.1,CAGL0I06116g,c_gla,XP_447516.1,3
XP_447518.1,CAGL0I06160g,c_gla,XP_447518.1,0
XP_447519.1,CAGL0I06182g,c_gla,c_gla:XP_447520.1,3
XP_447520.1,CAGL0I06204g,c_gla,c_gla:XP_447520.1,3
XP_447522.1,CAGL0I06248g,c_gla,XP_447522.1,1
XP_447523.1,CAGL0I06270g,c_gla,n_dai:XP_003668301.1,1
XP_447524.1,CAGL0I06292g,c_gla,XP_447524.1,1
XP_447526.1,CAGL0I06336g,c_gla,XP_447526.1,3
XP_447527.1,CAGL0I06358g,c_gla,XP_447527.1,1
XP_447529.1,CAGL0I06402g,c_gla,c_alb:XP_720644.1,0
XP_447530.1,CAGL0I06424g,c_gla,k_afr:XP_003955477.1,4
XP_002999560.1,CAGL0I06457g,c_gla,k_afr:XP_003955479.1,0
XP_447532.1,CAGL0I06490g,c_gla,XP_447532.1,3
XP_447533.1,CAGL0I06512g,c_gla,XP_447533.1,1
XP_447534.1,CAGL0I06534g,c_gla,XP_447534.1,2
XP_447536.1,CAGL0I06578g,c_gla,XP_447536.1,0
XP_447537.1,CAGL0I06600g,c_gla,XP_447537.1,3
XP_447540.1,CAGL0I06688g,c_gla,n_dai:XP_003670398.1,2
XP_447542.1,CAGL0I06721g,c_gla,z_rou:XP_002498619.1,1
XP_447543.1,CAGL0I06743g,c_gla,n_cas:XP_003673336.1,4
XP_447544.1,CAGL0I06765g,c_gla,XP_447544.1,2
XP_447545.1,CAGL0I06787g,c_gla,XP_447545.1,3
XP_447546.1,CAGL0I06809g,c_gla,XP_447546.1,1
XP_447547.1,CAGL0I06831g,c_gla,XP_447547.1,4
XP_447548.1,CAGL0I06853g,c_gla,XP_447548.1,3
XP_447549.1,CAGL0I06875g,c_gla,XP_447549.1,4
XP_447552.1,CAGL0I06963g,c_gla,XP_447552.1,1
XP_447553.1,CAGL0I06985g,c_gla,n_dai:XP_003672109.1,1
XP_447554.1,CAGL0I07007g,c_gla,XP_447554.1,4
XP_447557.1,CAGL0I07073g,c_gla,XP_447557.1,3
XP_447558.1,CAGL0I07095g,c_gla,XP_447558.1,1
XP_447559.1,CAGL0I07117g,c_gla,XP_447559.1,2
XP_447560.1,CAGL0I07139g,c_gla,e_cym:XP_003646408.1,1
XP_447561.1,CAGL0I07161g,c_gla,XP_447561.1,4
XP_447564.1,CAGL0I07227g,c_gla,k_afr:XP_003956068.1,3
XP_447566.1,CAGL0I07271g,c_gla,XP_447566.1,0
XP_447568.1,CAGL0I07315g,c_gla,XP_447568.1,0
XP_447570.1,CAGL0I07381g,c_gla,XP_447570.1,2
XP_447572.1,CAGL0I07447g,c_gla,s_cer:NP_014538.2,0
XP_447573.1,CAGL0I07469g,c_gla,XP_447573.1,4
XP_447575.1,CAGL0I07513g,c_gla,XP_447575.1,0
XP_447576.1,CAGL0I07535g,c_gla,XP_447576.1,2
XP_447577.1,CAGL0I07557g,c_gla,n_cas:XP_003678258.1,1
XP_447578.1,CAGL0I07579g,c_gla,n_dai:XP_003980088.1,4
XP_447579.1,CAGL0I07601g,c_gla,XP_447579.1,1
XP_447580.1,CAGL0I07623g,c_gla,XP_447580.1,1
XP_447581.1,CAGL0I07645g,c_gla,k_nag:XP_022466687.1,1
XP_447582.1,CAGL0I07667g,c_gla,z_rou:XP_002495223.1,3
XP_447583.1,CAGL0I07689g,c_gla,XP_447583.1,2
XP_447585.1,CAGL0I07733g,c_gla,XP_447585.1,4
XP_447588.1,CAGL0I07799g,c_gla,k_mar:XP_022676071.1,0
XP_447589.1,CAGL0I07821g,c_gla,XP_447589.1,2
XP_447590.1,CAGL0I07843g,c_gla,e_gos:NP_982914.1,2
XP_447591.1,CAGL0I07865g,c_gla,XP_447591.1,4
XP_447593.1,CAGL0I07909g,c_gla,XP_447593.1,3
XP_447594.1,CAGL0I07931g,c_gla,XP_447594.1,4
XP_447595.1,CAGL0I07953g,c_gla,XP_447595.1,3
XP_002999562.1,CAGL0I07969g,c_gla,XP_002999562.1,1
XP_447596.1,CAGL0I07975g,c_gla,k_afr:XP_003956251.1,3
XP_447598.1,CAGL0I08019g,c_gla,XP_447598.1,0
XP_447599.1,CAGL0I08041g,c_gla,XP_447599.1,1
XP_447600.1,CAGL0I08063g,c_gla,XP_447600.1,4
XP_447601.1,CAGL0I08085g,c_gla,XP_447601.1,3
XP_447603.1,CAGL0I08151g,c_gla,XP_447603.1,2
XP_447604.1,CAGL0I08195g,c_gla,XP_447604.1,4
XP_447605.1,CAGL0I08217g,c_gla,s_cer:NP_012651.1,1
XP_447606.1,CAGL0I08239g,c_gla,XP_447606.1,3
XP_447607.1,CAGL0I08261g,c_gla,XP_447607.1,4
XP_447608.1,CAGL0I08283g,c_gla,c_gla:XP_447608.1,1
XP_447609.1,CAGL0I08305g,c_gla,XP_447609.1,2
XP_447610.1,CAGL0I08327g,c_gla,n_dai:XP_003672178.1,1
XP_447611.1,CAGL0I08349g,c_gla,XP_447611.1,4
XP_447612.1,CAGL0I08371g,c_gla,XP_447612.1,2
XP_447613.1,CAGL0I08393g,c_gla,XP_447613.1,2
XP_447616.1,CAGL0I08459g,c_gla,z_rou:XP_002496496.1,3
XP_447617.1,CAGL0I08481g,c_gla,n_cas:XP_003674444.1,1
XP_447618.1,CAGL0I08503g,c_gla,n_cas:XP_003674445.1,3
XP_447619.1,CAGL0I08525g,c_gla,XP_447619.1,2
XP_447621.1,CAGL0I08569g,c_gla,XP_447621.1,4
XP_447623.1,CAGL0I08613g,c_gla,k_lac:XP_452732.1,3
XP_447624.1,CAGL0I08635g,c_gla,XP_447624.1,2
XP_447625.1,CAGL0I08701g,c_gla,s_cer:NP_011688.3,1
XP_447626.1,CAGL0I08723g,c_gla,XP_447626.1,1
XP_447627.1,CAGL0I08745g,c_gla,XP_447627.1,2
XP_447628.1,CAGL0I08767g,c_gla,k_afr:XP_003959585.1,4
XP_447629.1,CAGL0I08789g,c_gla,XP_447629.1,0
XP_447631.1,CAGL0I08833g,c_gla,XP_447631.1,1
XP_447632.1,CAGL0I08855g,c_gla,XP_447632.1,2
XP_447633.1,CAGL0I08877g,c_gla,XP_447633.1,0
XP_447634.1,CAGL0I08899g,c_gla,XP_447634.1,3
XP_447636.1,CAGL0I08965g,c_gla,k_afr:XP_003956565.1,0
XP_447637.1,CAGL0I08987g,c_gla,c_dub:XP_002421531.1,2
XP_447638.1,CAGL0I09009g,c_gla,XP_447638.1,3
XP_447639.1,CAGL0I09042g,c_gla,XP_447639.1,1
XP_447640.1,CAGL0I09064g,c_gla,s_cer:NP_116684.3,1
XP_447641.1,CAGL0I09086g,c_gla,XP_447641.1,4
XP_447642.1,CAGL0I09108g,c_gla,XP_447642.1,1
XP_447643.1,CAGL0I09130g,c_gla,XP_447643.1,4
XP_447644.1,CAGL0I09152g,c_gla,XP_447644.1,0
XP_447647.1,CAGL0I09218g,c_gla,c_gla:XP_447647.1,3
XP_447648.1,CAGL0I09240g,c_gla,k_mar:XP_022676562.1,4
XP_447649.1,CAGL0I09262g,c_gla,XP_447649.1,4
XP_447650.1,CAGL0I09284g,c_gla,k_lac:XP_455134.1,0
XP_447651.1,CAGL0I09306g,c_gla,XP_447651.1,0
XP_447652.1,CAGL0I09328g,c_gla,XP_447652.1,4
XP_447653.1,CAGL0I09350g,c_gla,XP_447653.1,2
XP_447654.1,CAGL0I09372g,c_gla,XP_447654.1,4
XP_447655.1,CAGL0I09394g,c_gla,n_cas:XP_003675198.1,0
XP_447656.1,CAGL0I09416g,c_gla,XP_447656.1,4
XP_447657.1,CAGL0I09438g,c_gla,XP_447657.1,4
